0	1	197	0.009016
1	1	8	0.007015
2	1	126	0.008421
3	1	122	0.008165
4	1	31	0.006746
5	1	191	0.008847
6	1	985	0.019454
7	1	41	0.007095
8	1	199	0.008872
9	1	305	0.010016
10	1	300	0.010863
11	1	91	0.007451
12	1	41	0.006764
13	1	1	0.007014
14	1	30	0.006707
15	1	64	0.007937
16	1	61	0.007116
17	1	49	0.006946
18	1	27	0.007139
19	1	4	0.006492
0	2	2	0.006584
1	2	94	0.007894
2	2	315	0.010781
3	2	164	0.008614
4	2	9	0.006290
5	2	120	0.008163
6	2	21	0.006621
7	2	3	0.006998
8	2	153	0.008374
9	2	79	0.007532
10	2	19	0.007941
11	2	43	0.007110
12	2	373	0.011242
13	2	52	0.007056
14	2	101	0.007743
15	2	11	0.006324
16	2	9	0.006598
17	2	14	0.006572
18	2	41	0.006744
19	2	2	0.006608
0	3	33	0.006955
1	3	215	0.009744
2	3	84	0.007654
3	3	281	0.010014
4	3	56	0.007169
5	3	171	0.008748
6	3	412	0.011299
7	3	43	0.006827
8	3	31	0.006714
9	3	58	0.007178
10	3	3	0.006424
11	3	2	0.006307
12	3	113	0.007673
13	3	6	0.006607
14	3	63	0.007606
15	3	14	0.006247
16	3	60	0.007120
17	3	382	0.010992
18	3	17	0.007001
19	3	28	0.006937
0	4	34	0.006855
1	4	184	0.008689
2	4	26	0.006715
3	4	61	0.007105
4	4	126	0.008368
5	4	43	0.006918
6	4	140	0.008295
7	4	56	0.007150
8	4	245	0.009640
9	4	30	0.007092
10	4	60	0.007103
11	4	266	0.010680
12	4	248	0.009529
13	4	13	0.006787
14	4	26	0.006961
15	4	10	0.006595
16	4	56	0.007701
17	4	419	0.011357
18	4	75	0.007385
19	4	8	0.007227
0	5	16	0.006744
1	5	19	0.006551
2	5	167	0.008640
3	5	460	0.011986
4	5	286	0.010331
5	5	73	0.007542
6	5	244	0.009979
7	5	76	0.008076
8	5	69	0.007219
9	5	149	0.008359
10	5	42	0.007400
11	5	80	0.007444
12	5	763	0.016604
13	5	45	0.007150
14	5	9	0.006213
15	5	11	0.006683
16	5	21	0.006712
17	5	159	0.008459
18	5	156	0.008481
19	5	5	0.006534
