0	1	93	0.007606
1	1	115	0.007968
2	1	72	0.007703
3	1	273	0.010482
4	1	192	0.009899
5	1	62	0.007794
6	1	576	0.016125
7	1	79	0.007763
8	1	244	0.010224
9	1	276	0.010872
10	1	43	0.007115
11	1	246	0.010366
12	1	65	0.007155
13	1	41	0.006485
14	1	80	0.007630
15	1	58	0.007010
16	1	60	0.007020
17	1	180	0.009085
18	1	131	0.008217
19	1	74	0.007207
0	2	122	0.008263
1	2	400	0.013146
2	2	746	0.019433
3	2	560	0.015312
4	2	248	0.010154
5	2	60	0.007242
6	2	53	0.006799
7	2	48	0.006605
8	2	46	0.006950
9	2	763	0.019306
10	2	78	0.007853
11	2	111	0.007926
12	2	44	0.007687
13	2	72	0.007321
14	2	56	0.006767
15	2	54	0.007047
16	2	53	0.006843
17	2	155	0.008538
18	2	52	0.007134
19	2	74	0.007873
0	3	122	0.008242
1	3	472	0.014004
2	3	883	0.021066
3	3	104	0.007989
4	3	1197	0.025635
5	3	42	0.006905
6	3	870	0.021112
7	3	76	0.007332
8	3	85	0.007353
9	3	481	0.015112
10	3	107	0.008705
11	3	141	0.008214
12	3	132	0.009339
13	3	54	0.007019
14	3	83	0.007881
15	3	70	0.008787
16	3	99	0.008108
17	3	434	0.013333
18	3	60	0.006953
19	3	116	0.007797
0	4	96	0.008347
1	4	100	0.007734
2	4	49	0.006945
3	4	471	0.014211
4	4	60	0.011682
5	4	143	0.008127
6	4	105	0.007562
7	4	103	0.007915
8	4	56	0.007244
9	4	386	0.013131
10	4	83	0.007317
11	4	62	0.007387
12	4	160	0.008520
13	4	70	0.007232
14	4	53	0.007131
15	4	61	0.007246
16	4	94	0.007443
17	4	136	0.008584
18	4	89	0.007591
19	4	47	0.006896
0	5	96	0.007608
1	5	168	0.008748
2	5	674	0.017348
3	5	464	0.014503
4	5	664	0.018397
5	5	190	0.009226
6	5	960	0.022064
7	5	41	0.006546
8	5	407	0.013362
9	5	100	0.008106
10	5	51	0.006748
11	5	538	0.015653
12	5	145	0.008210
13	5	77	0.007219
14	5	67	0.007603
15	5	57	0.008170
16	5	46	0.006825
17	5	242	0.009938
18	5	43	0.006657
19	5	87	0.007347
